"Symbol","IndustryClassificationID","IndustryClassificationName","ImplementDate","IndustryCode","IndustryName","InstitutionID"
"000016","P0203","申银万国行业分类2011修订版","1992-03-27","330201","彩电","101623"
"000016","P0201","证监会行业分类2001年版","1992-03-27","C55","日用电子器具制造业","101623"
"000016","P0207","证监会行业分类2012年版","1992-03-27","C39","计算机、通信和其他电子设备制造业","101623"
"000016","P0211","申银万国行业分类2014修订版","1992-03-27","330201","彩电","101623"
"000016","P0221","中国上市公司协会上市公司行业分类","1992-03-27","C39","计算机、通信和其他电子设备制造业","101623"
"000016","P0206","中证行业分类","2012-05-16","03020101","消费电子产品","101623"
"000016","P0212","中信证券行业分类","2015-08-11","ZX260201","黑色家电Ⅲ","101623"
"000016","P0215","中证行业分类2016年版","2016-12-12","03020101","消费电子产品","101623"
"000016","P0217","中信证券行业分类2.0修订版","2019-12-01","332010","黑色家电Ⅲ","101623"
"000016","P0218","申银万国行业分类2021修订版","2021-07-30","330201","彩电","101623"
"000016","P0219","中证行业分类2021年版","2021-12-13","25201020","黑色家电","101623"
"000016","P0218","申银万国行业分类2021修订版","2024-07-30","330106","冰洗","101623"
"000016","P0219","中证行业分类2021年版","2025-06-16","25201010","白色家电","101623"
"000020","P0201","证监会行业分类2001年版","1992-04-28","C55","日用电子器具制造业","101631"
"000020","P0207","证监会行业分类2012年版","1992-04-28","C39","计算机、通信和其他电子设备制造业","101631"
"000020","P0203","申银万国行业分类2011修订版","1992-04-28","270501","电子系统组装","101631"
"000020","P0211","申银万国行业分类2014修订版","1992-04-28","270501","电子系统组装","101631"
"000020","P0221","中国上市公司协会上市公司行业分类","1992-04-28","C39","计算机、通信和其他电子设备制造业","101631"
"000020","P0201","证监会行业分类2001年版","2007-10-09","C5110","电子器件制造业","101631"
"000020","P0206","中证行业分类","2012-05-16","07020201","电子设备制造商","101631"
"000020","P0212","中信证券行业分类","2015-08-11","ZX350301","其他元器件Ⅲ","101631"
"000020","P0215","中证行业分类2016年版","2016-12-12","07020201","电子设备及仪表制造商","101631"
"000020","P0217","中信证券行业分类2.0修订版","2019-12-01","604030","面板","101631"
"000020","P0215","中证行业分类2016年版","2020-06-15","07020202","光电子器件","101631"
"000020","P0218","申银万国行业分类2021修订版","2021-07-30","270301","面板","101631"
"000020","P0219","中证行业分类2021年版","2021-12-13","45203010","面板","101631"
"000021","P0203","申银万国行业分类2011修订版","1994-02-02","320201","计算机设备","101632"
"000021","P0201","证监会行业分类2001年版","1994-02-02","G8310","计算机相关设备制造业","101632"
"000021","P0207","证监会行业分类2012年版","1994-02-02","C39","计算机、通信和其他电子设备制造业","101632"
"000021","P0211","申银万国行业分类2014修订版","1994-02-02","710101","计算机设备","101632"
"000021","P0221","中国上市公司协会上市公司行业分类","1994-02-02","C39","计算机、通信和其他电子设备制造业","101632"
"000021","P0206","中证行业分类","2012-05-16","07020102","电脑存储与外围设备","101632"
"000021","P0212","中信证券行业分类","2015-08-11","ZX350201","电子设备Ⅲ","101632"
"000021","P0215","中证行业分类2016年版","2016-12-12","07020101","电脑与外围设备","101632"
"000021","P0211","申银万国行业分类2014修订版","2019-07-08","270501","电子系统组装","101632"
"000021","P0217","中信证券行业分类2.0修订版","2019-12-01","605010","消费电子组件","101632"
"000021","P0218","申银万国行业分类2021修订版","2021-07-30","270504","消费电子零部件及组装","101632"
"000021","P0219","中证行业分类2021年版","2021-12-13","45201040","安防设备及其他","101632"
"000045","P0203","申银万国行业分类2011修订版","1994-08-15","350102","棉纺","101184"
"000045","P0201","证监会行业分类2001年版","1994-08-15","C11","纺织业","101184"
"000045","P0207","证监会行业分类2012年版","1994-08-15","C17","纺织业","101184"
"000045","P0211","申银万国行业分类2014修订版","1994-08-15","350102","棉纺","101184"
"000045","P0221","中国上市公司协会上市公司行业分类","1994-08-15","C17","纺织业","101184"
"000045","P0203","申银万国行业分类2011修订版","2011-10-10","350106","其他纺织","101184"
"000045","P0211","申银万国行业分类2014修订版","2011-10-10","350106","其他纺织","101184"
"000045","P0201","证监会行业分类2001年版","2011-12-31","M","综合类","101184"
"000045","P0207","证监会行业分类2012年版","2011-12-31","S90","综合","101184"
"000045","P0221","中国上市公司协会上市公司行业分类","2011-12-31","S91","综合","101184"
"000045","P0206","中证行业分类","2012-05-16","02010701","贸易公司与经销商","101184"
"000045","P0207","证监会行业分类2012年版","2012-10-26","F51","批发业","101184"
"000045","P0221","中国上市公司协会上市公司行业分类","2012-10-26","F51","批发业","101184"
"000045","P0211","申银万国行业分类2014修订版","2014-07-02","270301","显示器件","101184"
"000045","P0206","中证行业分类","2015-06-16","07020201","电子设备制造商","101184"
"000045","P0207","证监会行业分类2012年版","2015-07-20","C39","计算机、通信和其他电子设备制造业","101184"
"000045","P0221","中国上市公司协会上市公司行业分类","2015-07-20","C39","计算机、通信和其他电子设备制造业","101184"
"000045","P0212","中信证券行业分类","2015-08-11","ZX350301","其他元器件Ⅲ","101184"
"000045","P0215","中证行业分类2016年版","2016-12-12","07020202","光电子器件","101184"
"000045","P0217","中信证券行业分类2.0修订版","2019-12-01","604040","显示零组","101184"
"000045","P0218","申银万国行业分类2021修订版","2021-07-30","270301","面板","101184"
"000045","P0219","中证行业分类2021年版","2021-12-13","45203010","面板","101184"
"000049","P0203","申银万国行业分类2011修订版","1995-03-20","430101","房地产开发","107889"
"000049","P0201","证监会行业分类2001年版","1995-03-20","C7615","电工器械制造业","107889"
"000049","P0207","证监会行业分类2012年版","1995-03-20","C38","电气机械及器材制造业","107889"
"000049","P0211","申银万国行业分类2014修订版","1995-03-20","430101","房地产开发","107889"
"000049","P0221","中国上市公司协会上市公司行业分类","1995-03-20","C38","电气机械和器材制造业","107889"
"000049","P0203","申银万国行业分类2011修订版","2007-07-02","220701","其他化工新材料","107889"
"000049","P0211","申银万国行业分类2014修订版","2007-07-02","270501","电子系统组装","107889"
"000049","P0203","申银万国行业分类2011修订版","2011-10-10","270401","其他电子","107889"
"000049","P0211","申银万国行业分类2014修订版","2011-10-10","270401","其他电子","107889"
"000049","P0206","中证行业分类","2012-05-16","07020201","电子设备制造商","107889"
"000049","P0211","申银万国行业分类2014修订版","2013-07-01","270501","电子系统组装","107889"
"000049","P0212","中信证券行业分类","2015-08-11","ZX350301","其他元器件Ⅲ","107889"
"000049","P0215","中证行业分类2016年版","2016-12-12","02010403","新能源设备","107889"
"000049","P0217","中信证券行业分类2.0修订版","2019-12-01","605010","消费电子组件","107889"
"000049","P0218","申银万国行业分类2021修订版","2021-07-30","630701","锂电池","107889"
"000049","P0219","中证行业分类2021年版","2021-12-13","20303010","电池","107889"
"000050","P0203","申银万国行业分类2011修订版","1995-03-15","270301","显示器件","101178"
"000050","P0201","证监会行业分类2001年版","1995-03-15","C5110","电子器件制造业","101178"
"000050","P0207","证监会行业分类2012年版","1995-03-15","C39","计算机、通信和其他电子设备制造业","101178"
"000050","P0211","申银万国行业分类2014修订版","1995-03-15","270301","显示器件","101178"
"000050","P0221","中国上市公司协会上市公司行业分类","1995-03-15","C39","计算机、通信和其他电子设备制造业","101178"
"000050","P0206","中证行业分类","2012-05-16","07020201","电子设备制造商","101178"
"000050","P0212","中信证券行业分类","2015-08-11","ZX350301","其他元器件Ⅲ","101178"
"000050","P0215","中证行业分类2016年版","2016-12-12","07020202","光电子器件","101178"
"000050","P0217","中信证券行业分类2.0修订版","2019-12-01","604030","面板","101178"
"000050","P0218","申银万国行业分类2021修订版","2021-07-30","270301","面板","101178"
"000050","P0219","中证行业分类2021年版","2021-12-13","45203010","面板","101178"
"000063","P0203","申银万国行业分类2011修订版","1997-11-18","320103","通信传输设备","101553"
"000063","P0201","证监会行业分类2001年版","1997-11-18","G8101","通信设备制造业","101553"
"000063","P0207","证监会行业分类2012年版","1997-11-18","C39","计算机、通信和其他电子设备制造业","101553"
"000063","P0211","申银万国行业分类2014修订版","1997-11-18","730202","通信传输设备","101553"
"000063","P0221","中国上市公司协会上市公司行业分类","1997-11-18","C39","计算机、通信和其他电子设备制造业","101553"
"000063","P0210","恒生行业分类","2007-12-11","70","资讯科技业","101553"
"000063","P0206","中证行业分类","2012-05-16","08020101","通信设备","101553"
"000063","P0212","中信证券行业分类","2015-08-11","ZX360206","系统设备","101553"
"000063","P0215","中证行业分类2016年版","2016-12-12","08020102","通信传输设备","101553"
"000063","P0217","中信证券行业分类2.0修订版","2019-12-01","612060","系统设备","101553"
"000063","P0218","申银万国行业分类2021修订版","2021-07-30","730204","通信网络设备及器件","101553"
"000063","P0219","中证行业分类2021年版","2021-12-13","50201020","通信系统设备及组件","101553"
"000063","P0220","恒生行业分类2023修订版","2023-09-05","70","资讯科技业","101553"
"000063","P0222","恒生行业分类2025修订版","2025-09-08","70","资讯科技业","101553"
"000066","P0203","申银万国行业分类2011修订版","1997-06-26","320201","计算机设备","101661"
"000066","P0201","证监会行业分类2001年版","1997-06-26","G8301","电子计算机制造业","101661"
"000066","P0207","证监会行业分类2012年版","1997-06-26","C39","计算机、通信和其他电子设备制造业","101661"
"000066","P0211","申银万国行业分类2014修订版","1997-06-26","710101","计算机设备","101661"
"000066","P0221","中国上市公司协会上市公司行业分类","1997-06-26","C39","计算机、通信和其他电子设备制造业","101661"
"000066","P0206","中证行业分类","2012-05-16","07020101","电脑硬件","101661"
"000066","P0212","中信证券行业分类","2015-08-11","ZX370101","PC及服务器硬件","101661"
"000066","P0215","中证行业分类2016年版","2016-12-12","07020101","电脑与外围设备","101661"
"000066","P0217","中信证券行业分类2.0修订版","2019-12-01","621010","通用计算机设备","101661"
"000066","P0218","申银万国行业分类2021修订版","2021-07-30","710103","其他计算机设备","101661"
"000066","P0219","中证行业分类2021年版","2021-12-13","45201010","电脑与外围设备","101661"
"000070","P0203","申银万国行业分类2011修订版","2000-05-11","270301","显示器件","101681"
"000070","P0201","证监会行业分类2001年版","2000-05-11","C51","电子元器件制造业","101681"
"000070","P0207","证监会行业分类2012年版","2000-05-11","C39","计算机、通信和其他电子设备制造业","101681"
"000070","P0211","申银万国行业分类2014修订版","2000-05-11","270301","显示器件","101681"
"000070","P0221","中国上市公司协会上市公司行业分类","2000-05-11","C39","计算机、通信和其他电子设备制造业","101681"
"000070","P0201","证监会行业分类2001年版","2010-08-10","G8101","通信设备制造业","101681"
"000070","P0203","申银万国行业分类2011修订版","2011-10-10","320103","通信传输设备","101681"
