"ViolationID","Symbol","DisposalDate","DeclareDate","ViolationType","ViolationYear","PunishmentMeasure"
"4096012","000016","2018-03-05","2018-03-06","违规买卖股票","2017","出具监管函。"
"40100891","000016","2020-04-30","2020-04-30","重大遗漏","2020","出具监管函。"
"40130090","000016","2023-01-03","2023-01-04","虚假记载(误导性陈述)、其他;虚假记载(误导性陈述)、其他;虚假记载(误导性陈述)、其他","2020;2021;2022","根据《上市公司信息披露管理办法》第五十二条第一项、《上市公司现场检查规则》(证监会公告〔2022〕21号)第二十一条的规定,我局决定对你公司采取责令改正的监管措施。"
"40139617","000016","2023-07-12","2023-07-13","一般会计处理不当;重大遗漏","2021;2023","根据《上市公司信息披露管理办法》第五十一条、第五十二条以及《上市公司现场检查规则》(证监会公告〔2022〕21号)第二十一条的规定,深圳证监局决定对公司采取责令改正的监管措施,对公司董事长刘凤喜、总经理周彬、财务总监李春雷、董事会秘书吴勇军采取监管谈话的监管措施。"
"40213322","000016","2025-12-25","2025-12-26","虚假记载(误导性陈述)、其他","2018","出具监管函。"
"40213364","000016","2025-12-26","2025-12-27","虚假记载(误导性陈述)、一般会计处理不当","2018","根据《上市公司信息披露管理办法》第五十八条第三款、第五十九条的规定,我局决定对公司、刘凤喜、周彬、李春雷分别采取出具警示函的监管措施。"
"4095373","000020","2016-05-16","2016-05-17","推迟披露","2016","出具监管函。"
"4039935","000020","2016-09-18","2016-09-19","推迟披露、其他;推迟披露、重大遗漏、其他","2014;2015","根据当事人违法行为的事实、性质、情节和社会危害程度,依据《证券法》第一百九十三条的规定,我局拟决定:一、责令深华发改正,给予警告,并处以40万元罚款;二、对李中秋给予警告,并处以25万元罚款;三、对陈志刚给予警告,并处以8万元罚款;四、对唐敢于给予警告,并处以5万元罚款;五、对翁小珏、曹丽给予警告,并分别处以3万元罚款。"
"4043174","000020","2017-01-05","2017-01-05","重大遗漏、其他;推迟披露、重大遗漏、其他","2014;2015","一、对深圳中恒华发股份有限公司予以公开谴责的处分;二、对深圳中恒华发股份有限公司实际控制人、董事长兼总经理李中秋给予公开谴责的处分;三、对深圳中恒华发股份有限公司时任董事陈志刚、时任副总经理唐敢于、时任董事会秘书翁小珏以及时任财务总监曹丽给予通报批评的处分。"
"40127811","000020","2022-11-18","2022-11-19","其他","N/A","根据《上市公司信息披露管理办法》(证监会令第182号)第五十二条和《上市公司监管指引第5号--上市公司内幕信息知情人登记管理制度》(证监会公告【2022】17号)第十六条第一款的规定,我局决定对李中秋、陈志刚、牛卓、杨斌分别采取出具警示函的监管措施。"
"40127812","000020","2022-11-18","2022-11-19","虚假记载(误导性陈述);推迟披露、其他","2022;N/A","根据《上市公司现场检查规则》(证监会公告【2022】21号)第二十一条及第二十三条第一款、《上市公司信息披露管理办法》(证监会令第182号)第五十二条、《上市公司监管指引第5号--上市公司内幕信息知情人登记管理制度》(证监会公告【2022】17号)第十六条的规定,我局决定对你公司采取责令改正的监管措施。"
"40129048","000020","2022-12-13","2022-12-13","虚假记载(误导性陈述);推迟披露","2022;N/A","整改。"
"40154967","000049","2024-03-28","2024-03-28","虚假记载(误导性陈述)、其他","2024","出具监管函。"
"4096090","000050","2018-04-17","2018-04-17","违规买卖股票","2018","出具监管函。"
"40127813","000050","2022-11-19","2022-11-19","违规买卖股票","2022","根据《中华人民共和国证券法》第一百七十条第二款的规定,我局决定对林晓霞采取出具警示函的监管措施。"
"40127802","000063","2022-11-19","2022-11-19","违规买卖股票","2022","根据《中华人民共和国证券法》第一百七十条第二款的规定,我局决定对李妙娜采取出具警示函的监管措施。"
"40140243","000066","2023-07-24","2023-07-24","虚假记载(误导性陈述)、推迟披露","2023","整改。"
"4091318","000070","2021-04-21","2021-04-23","其他","2020","鉴于上述违规事实及情节,依据本所《股票上市规则(2020年修订)》第16.2条、《上市公司纪律处分实施标准(试行)》第二十七条的规定,经本所纪律处分委员会审议通过,本所作出如下处分决定:对陈传荣给予通报批评的处分。"
"40120927","000070","2022-07-19","2022-07-20","虚假记载(误导性陈述);虚假记载(误导性陈述);虚假记载(误导性陈述);虚假记载(误导性陈述);虚假记载(误导性陈述);虚假记载(误导性陈述)","2016;2017;2018;2019;2020;2021","根据《上市公司信息披露管理办法》第五十九条的规定,我局决定对你公司采取出具警示函的监管措施。"
